repo,source_path,current_role,correct_owner,action,target_path,risk,reason,import_rewrite,approved
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G001-A2.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G001-A3.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G001-A4.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G001-B.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G001-C.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G001-C1.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G001-C2-seed.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G001-D.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G001-wildcard-expansion.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G002-wildcard-expansion.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-batch-001.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-batch-002.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-candidates-by-category.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-candidates-by-dependency-depth.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-candidates-by-filetype.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-candidates-by-repo.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-group-breakdown.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-map-annotated.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-map-starter-draft.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-map-tiered.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-map.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/move-tier-breakdown.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/ownership-matrix.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/purge-ledger.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-batch-001.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-batch-002.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-batch-003.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-batch-004.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-batch-005.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-batch-006.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-batch-007.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-reason-batch-005.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-reason-batch-006.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-reason-batch-007.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-repo-batch-005.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-repo-batch-006.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-repo-batch-007.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-risk-batch-005.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-risk-batch-006.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-risk-batch-007.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-role-batch-005.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-role-batch-006.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/quarantine-remainder-by-role-batch-007.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/governance/layers/L7_Execution_Die/shaders/bitwise_integrity.wgsl,compute,GPU,MOVE,LeewayEdgeWebGPU/gpu,high,gpu logic outside webgpu repo,true,false
LeeWay-Standards,LeeWay-Standards/governance/layers/L7_Execution_Die/shaders/bitwise_integrity.wgsl,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/governance/layers/L7_Execution_Die/shaders/context_compressor.wgsl,compute,GPU,MOVE,LeewayEdgeWebGPU/gpu,high,gpu logic outside webgpu repo,true,false
LeeWay-Standards,LeeWay-Standards/governance/layers/L7_Execution_Die/shaders/context_compressor.wgsl,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/governance/layers/L7_Execution_Die/shaders/data_normalizer.wgsl,compute,GPU,MOVE,LeewayEdgeWebGPU/gpu,high,gpu logic outside webgpu repo,true,false
LeeWay-Standards,LeeWay-Standards/governance/layers/L7_Execution_Die/shaders/data_normalizer.wgsl,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/governance/layers/L7_Execution_Die/shaders/tensor_matmul.wgsl,compute,GPU,MOVE,LeewayEdgeWebGPU/gpu,high,gpu logic outside webgpu repo,true,false
LeeWay-Standards,LeeWay-Standards/governance/layers/L7_Execution_Die/shaders/tensor_matmul.wgsl,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/services/sfu/src/signaling/handler.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/aria.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/bus.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/governance.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/governor.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/nexus.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/observer.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/registry.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/repair.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/runtime.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/scaler.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/sentinel.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/vector.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/agents/rtc/ward.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/core/brain/slang.db,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/runtime/engines/room-system.adapter.js,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/runtime/rtc/federation-router.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/runtime/rtc/leeway-rtc-native.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/runtime/rtc/mesh-fallback.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/runtime/rtc/store.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/runtime/rtc/vector-agent.ts,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,rtc logic outside rtc repo,true,false
LeeWay-Standards,LeeWay-Standards/src/ui/diagnostics/PersonaHealthPanel.tsx,ui,Integrated,MOVE,LeeWay-Edge-Integrated/app,high,ui shell outside integrated,true,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/.env.example,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/.pytest_cache/.gitignore,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/.pytest_cache/CACHEDIR.TAG,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/.pytest_cache/v/cache/lastfailed,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/.pytest_cache/v/cache/nodeids,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/af_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/am_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/an_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ar_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/as_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/az_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ba_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/be_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/bg_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/bn_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/bpy_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/bs_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ca_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/chr_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/cmn_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/cs_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/cv_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/cy_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/da_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/de_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/el_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/en_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/eo_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/es_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/et_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/eu_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/fa_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/fi_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/fr_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ga_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/gd_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/gn_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/grc_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/gu_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/hak_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/haw_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/he_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/hi_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/hr_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ht_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/hu_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/hy_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ia_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/id_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/intonations,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/io_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/is_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/it_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ja_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/jbo_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ka_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/kk_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/kl_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/kn_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/kok_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ko_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ku_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/ky_dict,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/aav/vi,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/aav/vi-VN-x-central,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/aav/vi-VN-x-south,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/art/eo,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/art/ia,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/art/io,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/art/jbo,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/art/lfn,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/art/piqd,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/art/py,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/art/qdb,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/art/qya,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/art/sjn,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/azc/nci,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/bat/lt,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/bat/ltg,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/bat/lv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/bnt/sw,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/bnt/tn,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/ccs/ka,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/cel/cy,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/src/voice/server/piper_bin/espeak-ng-data/lang/cel/ga,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
